Name,Type
Shabby Dagger,Equipment
Sharp Dagger,Equipment
Assasin’s Pride,Equipment
Green Steel,Equipment
Vampire Lord’s Fang,Equipment
Durandal,Equipment
Currupted Divine Shard,Equipment
Health Potion,Consumable
Stamina Potion,Consumable
Magic Dust,Consumable
Expansion Bag,Consumable
Monster Core,Consumable
Greater Health Potion,Consumable
Greater Mana Potion,Consumable
Holy Catalyst,Consumable
Old pickaxe,Consumable
Decent pickaxe,Consumable
Silver Key,Consumable
Golden Key,Consumable
Bronze Key,Consumable
Currupted Herb,Consumable
,
Vampire’s Fang,Decoration
Ghost Particles,Decoration
Legendary Sword’s Treasure map,Decoration
Ancient Scriptures,Decoration
Ominous Key,Decoration
Magic Ore,Decoration
Grieving Flower,Decoration
Death Grass,Decoration
Raw Meat,Decoration
"Page ",
Page 3,
Page 2,
